"","Drone_1","Drone_2","Drone_3","Drone_4","Drone_5","Drone_6","Queen_1","Queen_2","Queen_3","Queen_4","queen_5","Queen_6","Worker_1","Worker_2","Worker_3","Worker_4","Worker_5","Worker_6"
"Mir3793",7.152,11.395,6.878,3.038,11.302,15.587,1.644,0,1.464,5.004,1.693,0,4.996,4.967,0,0,0,0
"LOC552621",63.513,71.484,63.32,73.91,61.793,68.37,62.251,69.056,62.173,63.245,63.163,68.427,65.383,55.137,57.816,65.964,51.679,50.925
"LOC102655014",0.091,0.055,0.087,0.103,0.096,0.176,0,0.113,0.149,0.056,0.115,0,0.141,0.112,0.027,0.107,0.028,0
"LOC107965050",0.738,4.535,1.419,1.254,4.592,1.34,1.357,2.231,1.057,1.205,1.136,0.593,1.804,1.281,0.741,1.712,1.176,0.558
"LOC726569",138.869,126.785,122.83,134.498,121.702,134.382,153.636,178.815,163.518,166.906,170.759,153.884,156.853,146.095,146.539,153.659,148.402,143.411
"TRNAP-CGG_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC724207",9.828,10.58,7.965,8.298,10.061,7.664,10.229,8.164,8.248,7.209,8.663,7.82,7.945,8.986,10.486,10.982,10.357,11.165
"LOC724859",12.103,10.633,13.304,13.196,10.743,9.766,8.131,9.252,8.879,9.851,7.603,10.555,8.569,11.505,7.987,7.532,8.316,7.086
"LOC727118",32.245,28.857,33.581,35.674,35.507,33.89,35.763,34.269,34.483,27.011,32.549,30.525,38.979,32.271,41.469,42.63,38.86,45.654
"LOC107965562",36.245,33.409,37.458,26.578,33.154,38.602,16.454,16.087,15.143,17.258,13.387,17.091,27.315,21.584,16.113,18.876,20.269,24.175
"LOC102655228",7.212,8.211,6.24,6.064,7.364,6.883,2.672,3.739,2.724,3.273,2.723,3.164,3.969,5.953,3.119,3.58,3.359,2.212
"LOC113218869",1.331,1.385,1.234,1.858,0.826,0.875,0.437,0.265,0.311,0.443,0.225,0.306,0.708,0.836,0.637,0.378,0.649,0.329
"LOC410262",126.88,116.463,126.546,142.422,118.432,133.299,173.16,178.028,176.586,166.088,199.093,168.274,155.483,134.165,166.489,161.514,153.405,173.192
"Calpb",66.711,88.035,72.776,72.283,76.913,73.023,54.177,66.856,65.532,62.273,57.705,72.561,58.327,77.212,56.679,58.458,55.1,58.8
"LOC412101",41.934,38.418,30.67,37.853,34.845,25.509,17.943,20.501,18.536,12.303,12.202,24.054,26.389,37.589,25.195,25.759,16.486,13.285
"LOC410396",119.237,117.704,118.674,142.379,115.858,114.298,143.869,146.792,136.091,132.644,142.712,146.737,135.247,141.648,138.869,134.043,118.681,136.303
"LOC724520",3.576,1.948,4.203,4.051,1.98,2.931,1.489,1.222,1.601,1.483,1.273,1.835,2.59,2.179,2.401,2.35,1.809,1.664
"LOC725409",40.485,25.333,33.849,33.925,30.67,36.788,50.651,42.446,48.174,46.078,46.374,43.106,45.613,32.72,57.387,44.269,55.871,62.281
"LOC100577436",1.587,1.76,2.303,0.809,1.049,0.81,0.557,0.778,0.661,1.4,0.984,0.711,0.511,1.416,0.361,0.663,0.814,0.424
"LOC411629",64.914,72.129,61.905,75.251,64.697,60.351,44.941,54.617,53.219,46.982,40.655,46.819,61.195,60.47,65.641,53.899,49.262,46.58
"LOC409740",7.728,35.359,28.23,9.601,32.586,24.407,33.497,34.554,32.909,78.709,71.28,29.314,47.546,38.306,22.846,20.321,44.652,27.895
"LOC724737",37.838,31.941,45.734,43.693,35.378,40.769,14.815,20.764,16.766,18.829,14.868,15.914,31.334,25.718,22.237,27.035,25.163,13.075
